5,0.898,BIOSYNTH_CARRIERS,Age,0.0235666960150419 + 0.000640714942130882*Age
15,0.746,BIOSYNTH_CARRIERS,Age,0.0167052813163933 + 0.00222498638259329*Age + 0.000263633212287872*Temperature - 6.08571303566431e-5*Temperature*Age
16,0.729,BIOSYNTH_CARRIERS,Age,0.0313854051787916 + 0.00250368736568674*Age + -0.198849788859814/Temperature - 7.1490506762132e-5*Temperature*Age
21,0.694,BIOSYNTH_CARRIERS,Age,0.0192478388052373 + 0.000820957001148538*Age + 0.000257020108161043*Temperature + 0.000200700047404973*Age^2 - 5.97710857415368e-5*Temperature*Age
22,0.641,BIOSYNTH_CARRIERS,Age,0.0646395684759348 + 0.00379653799113819*Temperature + (0.400885489453903*Age - 0.397419794869524*Temperature)/(47.5275243795913 + Temperature) - 0.00482714739097536*Age
7,0.957,CELLENVELOPE,Age,0.0568302465488385 - 4.6244230729681e-5*Age^2
17,1.000,CELLPROCESSES,Age,0.0243169728018013 + 4.44261347494168e-9*Temperature*Age + 6.665293298079e-5*Age^2 - 1.10757266229897e-5*Temperature
19,1.000,CELLPROCESSES,Age,0.0243169728018013 + 6.665293298079e-5*Age^2 + 4.44261347494168e-9*Temperature*Age^2 - 1.10757266229897e-5*Temperature
11,0.743,CENTRINTMETABO,Age,0.0128681768247078 + 0.000461899713671355*Age - 1.57810911818667e-5*Temperature*Age
23,0.968,FATTYACIDMETABO,Age,0.0113498543328646 + 0.0467034271301084*Age/Temperature + -0.167618337204074*Age^2/Temperature^2 - 0.000331001950275331*Age
5,0.449,REGULFUN,Age,0.0607875069275396 + 0.00114526474481013*Age
11,0.436,REGULFUN,Age,0.0605635711162317 + 8.97460331305423e-5*Temperature + 0.000154598498005023*Age^2
5,0.646,REPLICATION,Age,0.054803206757086 + 0.00158083465511829*Age
7,0.520,REPLICATION,Age,0.0564101016510812 + 4.32673875850713e-5*Temperature*Age
9,0.429,REPLICATION,Age,0.0576407564112953 + 8.29345119601456e-6*Temperature*Age^2
11,0.305,REPLICATION,Age,0.0583330052803348 + 5.763191347552e-5*Temperature*Age - 0.000120769286264775*Temperature
15,0.300,REPLICATION,Age,0.0583560195812729 + 5.65911215235471e-6*Temperature + 1.65360445993278e-6*Temperature*Age^3
21,0.298,REPLICATION,Age,0.0583871368895077 + 1.50909515007789e-10*Temperature^4 + 1.67362857643978e-6*Temperature*Age^3
23,0.298,REPLICATION,Age,0.0583428397146266 + 1.4118864880511e-5*Temperature + 2.74869472025187e-7*Temperature^2 + 3.52090941800008e-7*Temperature*Age^4
25,0.293,REPLICATION,Age,0.0587750041384154 + 3.21135566603094e-7*Temperature*Age^4 + 1.86460707952633e-7*Age*Temperature^2 - 6.70348868408754e-6*Temperature
5,0.918,TRANSCRIPTION,Age,0.0150824457706768 + 0.00059325770834063*Age
9,0.631,TRANSCRIPTION,Age,0.0164373276802006 + 1.78568871476732e-6*Temperature*Age^2
5,0.897,TRANSLATION,Age,0.0825003562350875 - 0.000282684376355959*Age
9,0.836,TRANSLATION,Age,0.0835417803259457 - 1.81807756739102e-5*Temperature - 0.000450516140363528*Age
27,0.988,TRANSPORTPROTEINS,Age,0.144059497190044 + 3.10407763720455e-8*Temperature^3*Age^2 - 3.76115195808588e-7*Temperature^3 - 0.00082498278739471*Age^2
29,0.656,TRANSPORTPROTEINS,Age,0.135713079607255 + 1.60461345393682e-5*Age*Temperature^2 - 4.40977315509263e-5*Temperature - 9.2562251221253e-7*Temperature^3 - 6.90404218345927e-5*Temperature*Age^2
7,0.867,CFA,AMACBIOSYNTH,8.99734613000579 + 42843.1017488814*AMACBIOSYNTH*TRANSCRIPTION
11,0.763,CFA,AMACBIOSYNTH,929.196913402116*REGULFUN + 51083.3161108539*AMACBIOSYNTH*CELLPROCESSES - 69.5293544093194
13,0.240,SFA,AMACBIOSYNTH,63.8665814884792 + 0.0244197875019957*Temperature*Age^2 - 401.425248142994*AMACBIOSYNTH
5,0.612,CFAdivSFA,AMACBIOSYNTH,18.2944034362494*AMACBIOSYNTH - 0.0399136206715462
15,0.606,CFAdivSFA,AMACBIOSYNTH,0.127687477892332 + 26.0725224498941*AMACBIOSYNTH + 0.0974336604908879*Age*AMACBIOSYNTH - 16.1607620960131*PURINES
25,0.309,Anisotropie,AMACBIOSYNTH,0.14751114930914 + 7.27584132737736*AMACBIOSYNTH + 1.07440721401943*BIOSYNTH_CARRIERS + 0.0159207398935076*Age + 0.00203849347452191*Temperature - 0.0144716072739041*ENMETABO - 2.77031164851122*TRANSPORTPROTEINS
5,0.605,Anisotropie,BIOSYNTH_CARRIERS,12.2483205883503*BIOSYNTH_CARRIERS - 0.154744335059809
25,0.309,Anisotropie,BIOSYNTH_CARRIERS,0.14751114930914 + 7.27584132737736*AMACBIOSYNTH + 1.07440721401943*BIOSYNTH_CARRIERS + 0.0159207398935076*Age + 0.00203849347452191*Temperature - 0.0144716072739041*ENMETABO - 2.77031164851122*TRANSPORTPROTEINS
11,0.763,CFA,CELLPROCESSES,929.196913402116*REGULFUN + 51083.3161108539*AMACBIOSYNTH*CELLPROCESSES - 69.5293544093194
15,0.098,CFAdivUFA,CELLPROCESSES,47859.2538161024*CELLPROCESSES*FATTYACIDMETABO + 0.0249318244952807*Temperature*Age^2 - 18.6071697044555
21,0.098,CFAdivUFA,CELLPROCESSES,18703096.5545271*FATTYACIDMETABO*REGULFUN*CELLPROCESSES^2 + 0.789386875810291*Temperature*PURINES*Age^2 - 11.7806196705899
25,0.309,Anisotropie,ENMETABO,0.14751114930914 + 7.27584132737736*AMACBIOSYNTH + 1.07440721401943*BIOSYNTH_CARRIERS + 0.0159207398935076*Age + 0.00203849347452191*Temperature - 0.0144716072739041*ENMETABO - 2.77031164851122*TRANSPORTPROTEINS
11,0.192,CFAdivUFA,FATTYACIDMETABO,1.88333311505231*Temperature*FATTYACIDMETABO*Age^2 - 2.83248122879736
13,0.143,CFAdivUFA,FATTYACIDMETABO,904.359932864236*FATTYACIDMETABO + 0.0255621885601239*Temperature*Age^2 - 15.0506861348872
15,0.098,CFAdivUFA,FATTYACIDMETABO,47859.2538161024*CELLPROCESSES*FATTYACIDMETABO + 0.0249318244952807*Temperature*Age^2 - 18.6071697044555
21,0.098,CFAdivUFA,FATTYACIDMETABO,18703096.5545271*FATTYACIDMETABO*REGULFUN*CELLPROCESSES^2 + 0.789386875810291*Temperature*PURINES*Age^2 - 11.7806196705899
9,0.292,CFAdivUFA,Hypoprot,2349.55850382992*REPLICATION - 64.6504609142326 - 325.168064717709*Hypoprot
15,0.606,CFAdivSFA,PURINES,0.127687477892332 + 26.0725224498941*AMACBIOSYNTH + 0.0974336604908879*Age*AMACBIOSYNTH - 16.1607620960131*PURINES
21,0.098,CFAdivUFA,PURINES,18703096.5545271*FATTYACIDMETABO*REGULFUN*CELLPROCESSES^2 + 0.789386875810291*Temperature*PURINES*Age^2 - 11.7806196705899
11,0.763,CFA,REGULFUN,929.196913402116*REGULFUN + 51083.3161108539*AMACBIOSYNTH*CELLPROCESSES - 69.5293544093194
21,0.098,CFAdivUFA,REGULFUN,18703096.5545271*FATTYACIDMETABO*REGULFUN*CELLPROCESSES^2 + 0.789386875810291*Temperature*PURINES*Age^2 - 11.7806196705899
