date,s,ac,ac_m,s_1,ac_1,ac_m_1,var_s,var_ac,var_ac_m,ins,pl,hr,t
date,chim,chim,chim,chimt1,chimt1,chimt1,diffchim,diffchim,diffchim,meteo,meteo,meteo,meteo
42654.00,218.3,5.59,3.93,221.7,5.24,3.8,3.4,-0.35,-0.13,39,5,79.93,74.75
42626.00,165.9,7.94,8.15,180.5,6.13,5.93,14.6,-1.81,-2.22,51,24.4,77.29,128.8
42633.00,180.5,6.13,5.93,207.9,6.08,5.38,27.4,-0.05,-0.55,65,0.6,70.86,117.25
42640.00,207.9,6.08,5.38,217.2,5.68,4.84,9.3,-0.4,-0.54,59,8.6,77.5,108.15
42647.00,217.2,5.68,4.84,231.1,5.59,4.93,13.9,-0.09,0.09,57,0,72.71,83.9
42626.00,158.1,8.58,8.5,169.3,7.45,6.09,11.2,-1.13,-2.41,55,21.8,77.64,122.4
42633.00,169.3,7.45,6.09,198.8,6.71,5.54,29.5,-0.74,-0.55,64,0.4,71.21,113.25
42640.00,198.8,6.71,5.54,205.7,6.03,4.9,6.9,-0.68,-0.64,55,4.4,78.71,104.15
42647.00,205.7,6.03,4.9,224.1,5.73,4.89,18.4,-0.3,-0.01,57,0,71.5,83.1
42626.00,139.3,10.24,9.12,155.9,7.5,6.15,16.6,-2.74,-2.97,23.4,35,78.29,127.35
42633.00,155.9,7.5,6.15,182.8,7.11,5.31,26.9,-0.39,-0.84,55.9,1.8,70.07,124.1
42640.00,182.8,7.11,5.31,194.2,6.22,4.4,11.4,-0.89,-0.91,40.1,14,78.21,109.55
42647.00,194.2,6.22,4.4,198.8,6.27,4.53,4.6,0.05,0.13,45.8,0,73.14,87.2
42654.00,198.8,6.27,4.53,212.5,6.13,4.6,13.7,-0.14,0.07,32.8,3.4,80.36,79.9
42626.00,150.3,8.53,6.9,165.9,6.37,4.96,15.6,-2.16,-1.94,23.4,34,74.79,128.1
42633.00,165.9,6.37,4.96,194.2,6.47,4.69,28.3,0.1,-0.27,55.9,0,66.71,121.35
42640.00,194.2,6.47,4.69,205.7,6.03,4.29,11.5,-0.44,-0.4,40.1,10,74,109.95
42647.00,205.7,6.03,4.29,213.6,5.59,3.97,7.9,-0.44,-0.32,45.8,0,68.07,87.5
42654.00,213.6,5.59,3.97,214.8,5.54,3.66,1.2,-0.05,-0.31,32.8,3.5,75.64,80.45
42627.00,138,10.7,10.2,145,7.9,6.2,7,-2.8,-4,21.3,35.2,79.64,112.05
42634.00,145,7.9,6.2,165,7.1,5.4,20,-0.8,-0.8,56.4,0.4,65.43,117.6
42641.00,165,7.1,5.4,186,6,3.7,21,-1.1,-1.7,41.7,14,74.5,104.55
42648.00,186,6,3.7,194,5.7,3.4,8,-0.3,-0.3,45.3,0.4,71.86,75.65
42655.00,194,5.7,3.4,200,5.85,3.6,6,0.15,0.2,31.2,2.8,78.86,79.55
